id;group_code;category_code;text;answers_count_min;answers_count_max;answers_count_to_choose_min;answers_count_to_choose_max;weight;status
17;knowledge;1;Может ли взиматься плата за использование средств, предоставленных брокером при маржинальной торговле?;4;4;1;1;2;enabled
18;knowledge;1;Если Вы при инвестировании совершаете маржинальные/необеспеченные сделки, как правило, размер возможных убытков:;4;4;1;1;2;enabled
19;knowledge;1;В каком случае брокер может принудительно закрыть позицию клиента при наличии ранее заключенных маржинальных / необеспеченных сделок?;4;4;1;1;3;enabled
20;knowledge;2;Если Вы купили опцион на покупку акций, Вы:;4;4;1;1;1;enabled
21;knowledge;2;Вы продали опцион на покупку акций. Ваши потенциальные убытки:;4;4;1;1;2;enabled
22;knowledge;2;Вы получили убыток от инвестиций на срочном рынке. Возместят ли Вам ваши убытки?;4;4;1;1;2;enabled
23;knowledge;2;"Вы имеете один фьючерсный контракт на акции. Цена акций резко упала. В данном случае события могут развиваться следующим образом:<ol><li>брокер потребует от Вас внести дополнительное обеспечение Вы либо брокер закроете Вашу позицию, но баланс Вашего счёта может стать отрицательным;</li><li>фьючерсный контракт становится внебиржевым, какие-либо действия от Вас при этом не требуются;</li><li>фьючерсный контракт переходит к брокеру, Вы не несете по нему ответственности;</li><li>срок фьючерсного контракта продлевается на период до достижения ценой акций уровня, соответствующего цене на дату заключения такого контракта.</li></ol>";4;4;1;1;3;enabled
24;knowledge;3;Если Вы продали ценную бумагу по первой части договора репо, по второй части такого договора репо Вы:;4;4;1;1;1;enabled
25;knowledge;3;Переоценка по договору репо;4;4;1;1;2;enabled
26;knowledge;3;Вы являетесь покупателем по первой части договора репо. По ценным бумагам, которые Вы получили по договору репо, осуществлена выплата денежных средств или передано иное имущество, в том числе в виде дивидендов или процентов (доход). В каком случае Вы обязаны передать сумму такого дохода продавцу по договору репо?;4;4;1;1;2;enabled
27;knowledge;3;Продавец передал в собственность покупателя ценные бумаги по договору репо (в случае отсутствия в договоре оговорки о возможности возврата иного количества ценных бумаг). Риск невозврата ценных бумаг, переданных по первой части договора репо, для продавца может реализоваться:;4;4;1;1;3;enabled
28;knowledge;4;Выберите верное утверждение в отношении структурных облигаций:;4;4;1;1;1;enabled
29;knowledge;4;Может ли инвестор по структурной облигации при ее погашении получить выплату меньше ее номинальной стоимости?;4;4;1;1;2;enabled
30;knowledge;4;"Что из перечисленного, как правило, не является риском<hint>Текст подсказки</hint>по структурной облигации?<ol><li>риск ненадлежащего исполнения эмитентом обязательств<hint>Текст подсказки</hint>при погашении структурной облигации;</li><li>риск изменения рыночной стоимости актива, влияющего на размер выплат по структурной облигации;</li><li>риск наступления кредитного события<hint>Кредитным событием является возникновение обстоятельства, свидетельствующего о неисполнении или ненадлежащем исполнении одним или несколькими юридическими лицами, государствами или муниципальными образованиями своих обязанностей лица.</hint>, указанного в условиях структурной облигации, влияющего на размер выплат по структурной облигации</li><li>риск изменения рыночной капитализации эмитента;</li><li>риск изменения суверенного рейтинга страны эмитента.</li></ol>";4;4;1;1;2;enabled
31;knowledge;4;Вы приобрели бескупонную структурную облигацию. Выплата номинальной стоимости при погашении такой облигации зависит от цены акций компании А. Защита капитала (возврат номинальной стоимости) по структурной облигаций составляет 80% в случае падения цены на акции компании А более, чем на 10% от первоначальной цены. Какой объем выплаты относительно номинала структурной облигации Вы ожидаете получить в случае снижения цены акций компании А на дату погашения структурной облигации более, чем на 10% от их первоначальной цены:;4;4;1;1;3;enabled
32;knowledge;5;Инвестиционный пай – это:;4;4;1;1;1;enabled
33;knowledge;5;Каким образом выплата промежуточного дохода по инвестиционным паям закрытого паевого инвестиционного фонда влияет на расчетную стоимость пая? Расчетная стоимость пая, как правило (при прочих равных условиях):;4;4;1;1;2;enabled
34;knowledge;5;Если инвестор принимает решение продать принадлежащие ему паи закрытого паевого инвестиционного фонда, как быстро он может осуществить продажу?;4;4;1;1;2;enabled
35;knowledge;5;Допускается ли вторичное обращение паев закрытого паевого инвестиционного фонда?;4;4;1;1;3;enabled
36;knowledge;6;Кредитный рейтинг облигаций— это:;4;4;1;1;1;enabled
37;knowledge;6;Если инвестор принимает решение продать принадлежащие ему низколиквидные облигации, как быстро он может это сделать?;4;4;1;1;2;enabled
38;knowledge;6;Пожалуйста, выберите правильный ответ из следующих утверждений:;4;4;1;1;2;enabled
39;knowledge;6;Отсутствие кредитного рейтинга выпуска для любого выпуска облигаций означает:;4;4;1;1;3;enabled
40;knowledge;7;Кредитный рейтинг компании, обеспечивающей (осуществляющей) исполнение обязательств (выплаты) по облигациям — это:;4;4;1;1;1;enabled
41;knowledge;7;Если инвестор принимает решение продать принадлежащие ему низколиквидныеоблигации, как быстро он может это сделать?;4;4;1;1;2;enabled
42;knowledge;7;Пожалуйста, выберите правильный ответ из следующих утверждений:;4;4;1;1;2;enabled
43;knowledge;7;В случае, если Вы купили иностранную облигацию за 100 долларов США и продали ее через год за 110 долларов США, при этом курс доллара США за указанный год вырос с 50 до 75 рублей, Ваш налогооблагаемый доход в России составит:;4;4;1;1;3;enabled
44;knowledge;8;Можно ли в дату приобретения облигации, величина и (или) факт выплаты купонного дохода по которым зависит от изменения стоимости какого-либо актива (изменения значения какого-либо показателя) или наступления иного обстоятельства (облигаций со структурным доходом), точно рассчитать общий размер купонного дохода по такой облигации, который будет выплачен ее эмитентом?;4;4;1;1;1;enabled
45;knowledge;8;Что из перечисленного не является риском по облигации со структурным доходом?;4;4;1;1;2;enabled
46;knowledge;8;Возможно ли точно определить, как повлияет изменение рыночной стоимости активов и (или) значений финансовых показателей, от которых зависит размер купонного дохода по облигации со структурным доходом, на цену продажи такой облигации инвестором на вторичном рынке?;4;4;1;1;2;enabled
47;knowledge;8;Выберите верное утверждение относительно рыночной стоимости облигации со структурным доходом, который зависит от цены определенной акции.;4;4;1;1;3;enabled
48;knowledge;9;Вы получили убытки от совершения сделок с акциями. Возместят ли Вам Ваши убытки?;4;4;1;1;1;enabled
49;knowledge;9;Если инвестор принимает решение продать принадлежащую ему акцию, как быстро он может это сделать?<ol><li>Nullam dictum felis eu pede mollis pretium it amet orci eget eros faucibus tincidunt leo ligula, porttitor eu, consequat vitae, eleifend ac, enim<hint>Текст подсказки</hint></li><li>Sed consequat, leo eget bibendum sodales, augue<hint>Текст подсказки</hint>velit cursus nunc</li></ol>;4;4;1;1;2;enabled
50;knowledge;9;"Выберите признаки, отличающие акции, не включенные в котировальные списки, от акций, включенных в котировальные списки:<ol><li>цены на акции, не включенные в котировальные списки, как правило более волатильны (изменчивы);</li><li>цены на акции, не включенные в котировальные списки, как правило, менее волатильны (изменчивы);</li><li>количество сделок с акциями, не включенными в котировальные списки, в течение дня как правило меньше;</li><li>количество сделок с акциями, не включенными в котировальные списки, в течение дня как правило больше.</li></ol>";4;4;1;1;2;enabled
51;knowledge;9;Выберите верное утверждение:;4;4;1;1;3;enabled
52;knowledge;10;Ликвидность акции характеризует:;4;4;1;1;1;enabled
53;knowledge;10;Что из перечисленного не является риском по приобретению акций иностранных эмитентов?;4;4;1;1;2;enabled
54;knowledge;10;В фондовый индекс, рассчитываемый биржей, включаются:;4;4;1;1;2;enabled
55;knowledge;10;В случае, если Вы купили иностранную акцию за 100 долларов США и продали ее через год за 110 долларов США, при этом курс доллара США за указанный год вырос с 50 до 75 рублей, Ваш налогооблагаемый доход в России составит:;4;4;1;1;3;enabled
56;knowledge;11;Выберите правильное утверждение в отношении паев ETF на индекс акций:;4;4;1;1;1;enabled
57;knowledge;11;Как устроен механизм формирования цены ETF?;4;4;1;1;2;enabled
58;knowledge;11;Что из перечисленного не является риском, связанным с вложениями российских инвесторов в паи ETF?;4;4;1;1;2;enabled
59;knowledge;11;В случае, если Вы купили пай ETF за 100 долларов США и продали его через год за 120 долларов США, при этом курс доллара США за указанный год вырос с 50 до 75 рублей, Ваш налогооблагаемый доход в России составит:;4;4;1;1;3;enabled
60;evaluation;5;Обладаете ли Вы знаниями о финансовом инструменте?;4;4;1;;0;enabled
61;evaluation;5;Как долго (в совокупности) Вы осуществляете сделки с этим инструментом?;3;3;1;1;0;enabled
62;evaluation;5;Сколько сделок с этим инструментом Вы заключили за последний год?<hint>В случае выбора ответа «а» на вопрос № 2 на данный вопрос (вопрос № 3) можно не отвечать.</hint>;3;3;0;1;0;enabled
63;evaluation;6;Обладаете ли Вы знаниями о финансовом инструменте?;4;4;1;;0;enabled
64;evaluation;6;Как долго (в совокупности) Вы осуществляете сделки с этим инструментом?;3;3;1;1;0;enabled
65;evaluation;6;Сколько сделок с этим инструментом Вы заключили за последний год?<hint>В случае выбора ответа «а» на вопрос № 2 на данный вопрос (вопрос № 3) можно не отвечать.</hint>;3;3;0;1;0;enabled
66;evaluation;7;Обладаете ли Вы знаниями о финансовом инструменте?;4;4;1;;0;enabled
67;evaluation;7;Как долго (в совокупности) Вы осуществляете сделки с этим инструментом?;3;3;1;1;0;enabled
68;evaluation;7;Сколько сделок с этим инструментом Вы заключили за последний год?<hint>В случае выбора ответа «а» на вопрос № 2 на данный вопрос (вопрос № 3) можно не отвечать.</hint>;3;3;0;1;0;enabled
69;evaluation;8;Обладаете ли Вы знаниями о финансовом инструменте?;4;4;1;;0;enabled
70;evaluation;8;Как долго (в совокупности) Вы осуществляете сделки с этим инструментом?;3;3;1;1;0;enabled
71;evaluation;8;Сколько сделок с этим инструментом Вы заключили за последний год?<hint>В случае выбора ответа «а» на вопрос № 2 на данный вопрос (вопрос № 3) можно не отвечать.</hint>;3;3;0;1;0;enabled
72;evaluation;9;Обладаете ли Вы знаниями о финансовом инструменте?;4;4;1;;0;enabled
73;evaluation;9;Как долго (в совокупности) Вы осуществляете сделки с этим инструментом?;3;3;1;1;0;enabled
74;evaluation;9;Сколько сделок с этим инструментом Вы заключили за последний год?<hint>В случае выбора ответа «а» на вопрос № 2 на данный вопрос (вопрос № 3) можно не отвечать.</hint>;3;3;0;1;0;enabled
75;evaluation;10;Обладаете ли Вы знаниями о финансовом инструменте?;4;4;1;;0;enabled
76;evaluation;10;Как долго (в совокупности) Вы осуществляете сделки с этим инструментом?;3;3;1;1;0;enabled
77;evaluation;10;Сколько сделок с этим инструментом Вы заключили за последний год?<hint>В случае выбора ответа «а» на вопрос № 2 на данный вопрос (вопрос № 3) можно не отвечать.</hint>;3;3;0;1;0;enabled
